edad,prefiere_tipo,nivel_actividad,vive_en_departamento,acompañante,tiempo_libre,ingresos_mensuales,adopta
56,gato,bajo,0,solo,1.8,,0
46,gato,alto,0,solo,4.6,2468.0,1
32,perro,bajo,1,amigo,3.9,1497.0,1
60,ambos,bajo,1,familia,4.7,3282.0,1
25,ambos,medio,1,familia,3.5,2241.0,1
38,gato,medio,0,solo,2.6,1566.0,0
56,gato,medio,0,amigo,4.3,1588.0,0
36,gato,bajo,0,familia,3.0,1640.0,0
40,gato,medio,1,solo,3.2,2961.0,1
28,gato,medio,1,familia,3.0,1112.0,1
28,perro,alto,1,familia,0.1,1532.0,1
41,gato,alto,0,solo,4.6,1607.0,1
53,ambos,medio,1,familia,3.5,1989.0,1
57,gato,medio,0,familia,3.3,1810.0,0
41,perro,alto,1,solo,2.9,956.0,1
20,ambos,bajo,0,solo,3.2,1720.0,1
39,perro,medio,1,solo,2.4,1930.0,1
19,perro,medio,0,solo,3.6,1560.0,1
41,perro,alto,1,amigo,1.7,2481.0,1
61,perro,bajo,1,amigo,3.2,2644.0,1
47,ambos,medio,1,solo,3.6,1945.0,1
55,gato,alto,1,familia,2.8,2161.0,1
19,perro,medio,1,solo,3.4,487.0,1
38,ambos,bajo,1,solo,2.0,1705.0,0
50,ambos,alto,1,solo,2.0,2703.0,1
29,ambos,medio,0,amigo,3.2,1704.0,1
39,perro,medio,1,solo,3.7,1484.0,1
61,gato,bajo,1,solo,1.1,3594.0,1
42,ambos,medio,0,solo,3.5,3273.0,1
44,ambos,medio,1,familia,2.5,2327.0,0
59,perro,bajo,0,familia,2.8,,1
45,perro,bajo,0,solo,1.7,442.0,0
33,gato,alto,0,solo,2.1,1449.0,0
32,ambos,bajo,0,amigo,4.0,1671.0,1
64,gato,bajo,1,familia,3.0,1835.0,1
61,gato,medio,1,solo,2.6,1657.0,1
20,perro,alto,1,familia,2.9,215.0,0
54,gato,bajo,1,amigo,3.5,2270.0,1
24,ambos,medio,0,solo,3.4,2381.0,1
38,perro,bajo,1,amigo,2.9,3121.0,0
26,ambos,bajo,1,familia,4.1,1448.0,1
56,ambos,bajo,1,familia,4.0,,1
35,perro,alto,1,solo,3.4,124.0,1
21,gato,bajo,1,solo,3.1,1795.0,1
42,perro,bajo,1,solo,3.7,,1
